Unnamed: 0,text,humor,pred,result,good,bad,accuracy,precision,recall,F1
94,use code zfrank to get off when you sign up,False,False,good,,,,,,
95,and that makes a great deal even better,False,False,good,,,,,,
96,try it today,False,False,good,,,,,,
97,i m a fan and happy to have them as a sponsor,False,False,good,,,,,,
98,where were we,False,False,good,,,,,,
99,oh right,False,False,good,,,,,,
100,for the most part hippos eat grasses and shrubbery,False,False,good,,,,,,
101,mostly at night but that footage sucks,False,False,good,,,,,,
102,they sort of use their lips to get at it,False,False,good,,,,,,
103,all that hardware up front is for fighting not eating,False,True,bad,,,,,,
104,to chew they got to take it all the way back to where the little teeth are,False,False,good,,,,,,
105,these grasses are not that nutritious and they are hard to digest,False,False,good,,,,,,
106,so bacteria in the hippo s stomach ferment and break down those lawn clippings into something that the hippo can work with,False,False,good,,,,,,
107,after all that is been taken care of of course it comes out the other end,False,False,good,,,,,,
108,spectacularly,False,False,good,,,,,,
109,the hippo is not a modest pooper,True,True,good,,,,,,
110,not like a dog sort of looking around guiltily,True,False,bad,,,,,,
111,it looks like a malfunctioning dodo toilet,True,False,bad,,,,,,
112,the bedenhozzles on full blast,True,False,bad,,,,,,
113,the thought is this is for scent marking because it helps disperse the scent,False,False,good,,,,,,
114,understatement,False,False,good,,,,,,
115,but here s the thing,False,False,good,,,,,,
116,hours a day or so they are sitting in a pool with a whole bunch of other hippos,False,True,bad,,,,,,
117,you re shifting around a bit you do not always know what part of the hippo in front of you you are facing,True,False,bad,,,,,,
118,and at some point someone s gonna have to go and it is a pain in the ass to get out get your flip flops,True,True,good,,,,,,
119,because the floor in the pool house toilet is always wet and you do not know from what,True,False,bad,,,,,,
120,so if someone shits in the pool you could make a big deal out of it,True,False,bad,,,,,,
121,or you could lean into it,True,False,bad,,,,,,
122,and that is what the hippos did,False,False,good,,,,,,
123,make some lemonade out of those lemons,False,False,good,,,,,,
124,and by lemonade i mean shits soup,True,False,bad,,,,,,
125,and by shits soup i mean shits soup with benefits,True,True,good,,,,,,
126,alright that sounds weird,True,False,bad,,,,,,
127,with all the hippos pooping in the pool that is good news for all the things that like to eat poop,True,True,good,,,,,,
128,but as those creatures thrive they take oxygen out of the water,False,False,good,,,,,,
129,and this in turn makes the water resemble the insides of the hippos gut,True,False,bad,,,,,,
130,and that means that those healthy bacteria that are living in the gut can come out and play,True,False,bad,,,,,,
131,and suddenly the water s like a big shared gut,True,False,bad,,,,,,
132,everyone s pooping in it and drinking it and officiating it,True,False,bad,,,,,,
133,i mean it is good bacteria for everyone,True,False,bad,,,,,,
134,it s like swimming in kombucha,True,False,bad,,,,,,
135,or a compupcha,True,False,bad,,,,,,
136,get it,True,False,bad,,,,,,
137,kill me,True,False,bad,,,,,,
138,and this can change entire ecosystems,False,False,good,,,,,,
139,the grass is hippozee er rich in silica,False,False,good,,,,,,
140,the silica gets used by diatoms,False,False,good,,,,,,
141,a kind of algae that encases itself in little glass houses,False,False,good,,,,,,
142,the diatoms can then out compete green algae,False,False,good,,,,,,
143,which is good because green algae blooms can choke out all the sunlight in the body of water,False,False,good,,,,,,
144,you want a nice healthy lake,False,False,good,,,,,,
145,have a hippo shit in it,True,True,good,,,,,,
146,who knew,False,False,good,,,,,,
147,but do not start thinking that hippos are just a group of mellow environmentalist river pooping hippies,True,True,good,,,,,,
148,they ve got some spunk to we do not use that word jerry,True,True,good,,,,,,
149,they ve got some attitude,False,False,good,,,,,,
150,i mean look at this one,False,False,good,,,,,,
151,it s chasing a freaking boat,False,False,good,,,,,,
152,they can gallop underwater,False,False,good,,,,,,
153,and look it is got a bigger wake than the boat,False,False,good,,,,,,
154,i mean they are not bad on land either,False,False,good,,,,,,
155,those dense bones they have can support all that weight even in a sprint,False,False,good,,,,,,
156,and in short stretches they can go miles an hour,False,False,good,,,,,,
157,i mean look at that thing,False,False,good,,,,,,
158,coming at you and that is a guaranteed pant load,True,True,good,,,,,,
159,now being a mucus covered giant bulldozer gives you some protection,True,False,bad,,,,,,
160,but they also have a weaponized face,False,False,good,,,,,,
161,you know when somebody yawns and then like you have to yawn,False,False,good,,,,,,
162,imagine what it is like for the hippos because their yawn goes on for days,True,True,good,,,,,,
163,this mouth wide open gesture exposes their canine teeth which can be over two feet long,False,False,good,,,,,,
164,they never stop growing and they self sharpen by rubbing against each other,False,False,good,,,,,,
165,when you put all that together and you have a creature that really does not give a fuck look at this one,True,True,good,,,,,,
166,you know what he is doing,False,False,good,,,,,,
167,wait for it,False,False,good,,,,,,
168,he s fucking with a rhino,True,True,good,,,,,,
169,and the rhino does not know what the hell s going on,True,False,bad,,,,,,
170,he s like you sure about this bro,True,False,bad,,,,,,
171,and the hippo keeps at it until it does what you are not supposed to do,False,False,good,,,,,,
172,which is turn your backside to a pissed off rhino,True,True,good,,,,,,
173,look at that,False,False,good,,,,,,
174,right in the noodle,False,False,good,,,,,,
175,however most of the hippos profound tothidity is reserved for other hippos,False,False,good,,,,,,
176,a single alpha male has the exclusive right to mate with all the females in the pod,False,False,good,,,,,,
177,younger horny males hang out on the periphery and take out their sexual frustration on each other,True,False,bad,,,,,,
178,now if you are having trouble figuring out who is who you are not alone,False,False,good,,,,,,
179,it turns out it is not that easy to tell the hippopotamuses from the hippopotamisters,True,False,bad,,,,,,
180,come on that is amazing,False,False,good,,,,,,
181,well in this shot you can probably tell,False,False,good,,,,,,
182,and this is essentially what hippopornography looks like,True,False,bad,,,,,,
183,it s why you do not see very much of it on your websites,False,False,good,,,,,,
184,i mean you might get a shot of a nostril here there but it is sort of boring,False,False,good,,,,,,
185,but i suppose do not judge until you have had a hippopotamus on top of yours,True,True,good,,,,,,
186,it s so bad,False,False,good,,,,,,
187,anyway that is how they do it and you know what happens next,False,False,good,,,,,,
188,this right here is a mummy hippo in the process of giving birth to a brand new baby,False,False,good,,,,,,
189,birth usually happens under the water and the baby needs to learn quick how to come up for air,False,False,good,,,,,,
190,it s not all that strong yet and it is still learning to hold its breath,False,False,good,,,,,,
191,so for the time being mummy helps out with the nudge before it sinks back down like a flesh rock,False,False,good,,,,,,
192,soon enough though it gets the hang of it,False,False,good,,,,,,
193,for the first months the mummy hippo will raise the baby away from the pod for reasons that will be painfully obvious,False,False,good,,,,,,
194,but for now this is about as sweet as a hippo relationship gets,False,True,bad,,,,,,
195,i mean come on those babies are cute,False,False,good,,,,,,
196,and look at pygmy hippo babies,False,False,good,,,,,,
197,i mean that is off the charts,False,False,good,,,,,,
198,it s like a gummy bear come to life,True,False,bad,,,,,,
199,but parenting out there is not all that easy,False,False,good,,,,,,
200,no behind that that is a crocodile hot,True,True,good,,,,,,
201,hot,True,False,bad,,,,,,
202,oh for god s sakes,True,False,bad,,,,,,
203,at this size the babies are still vulnerable to predators that would not take on a full grown hippo,False,False,good,,,,,,
204,so it is helpful to have a full grown hippo around,False,True,bad,,,,,,
205,look at the animal watching the whole thing,False,False,good,,,,,,
206,like wildlife rubber necking,False,False,good,,,,,,
207,it s like suck it leopard,True,True,good,,,,,,
208,yeah suck oh shit they are leaving,True,False,bad,,,,,,
209,it s a bit of an incredible adventure out there alone with your mother learning how best to hip a bottom,False,True,bad,,,,,,
210,and after surviving leopards and lions and crocodiles it is time for them to go back and re enter the pod,False,False,good,,,,,,
211,which is perhaps more dangerous than all of what they have been through,False,False,good,,,,,,
212,now let us just say that our little friend made it back just fine,False,False,good,,,,,,
213,but to understand the hippopotamus you should know that many don t,False,False,good,,,,,,
214,if a new male is taken over the pod it will often kill returning pups,False,False,good,,,,,,
215,it s a sad thing but a true thing,False,False,good,,,,,,
216,and that is the thing with these hippos,False,False,good,,,,,,
217,they alternate between this sort of serene calm and sudden moments of extreme violence,False,False,good,,,,,,
218,but that sort of unpredictability might be the best way to stay alive,False,False,good,,,,,,
219,and they have stayed alive,False,False,good,,,,,,
220,big buckets of flesh among lions and leopards,False,False,good,,,,,,
221,and that is just how the hippo do,False,False,good,,,,,,
222,no jerry they are not using farts to echolocate,True,False,bad,,,,,,
223,how do i know,False,False,good,,,,,,
224,for one what are they going to do,False,False,good,,,,,,
225,have a bean burrito three hours before they want to find a carrot,True,False,bad,,,,,,
226,they cannot just fart on command jerry,True,False,bad,,,,,,
227,and anyway they know it was not a fart,False,False,good,,,,,,
228,well i do not know,False,False,good,,,,,,
229,they look for bubbles jerry,False,False,good,,,,,,
230,do your magic sonar farts not make bubbles,True,False,bad,,,,,,
231,no,True,False,bad,,,,,,
232,no you cannot use my bathtub,True,False,bad,,,,,,
233,idiot,True,False,bad,,,,,,
